ERR1913283.120__1.120	820__A0A139K426__B5G17_09115
ERR1913283.54119__1.54119	649756__E5VMQ9__prkC_2
ERR1913283.54201__1.54201	33025__A0A395JHD9__C8D73_101774
ERR1913283.54284__1.54284	357276__B6W1J2__BACDOR_03380
ERR1913283.54286__1.54286	166486__R6B4E4__sinR_2
ERR1913283.54298__1.54298	218538__C9LPF0__GCWU000321_01429
ERR1913283.54607__1.54607	820__A0A3E4WA06__ERS852554_03404
ERR1913283.54707__1.54707	1262889__R7HCR1__BN634_01576
ERR1913283.54882__1.54882	820__A0A1Y3V743__M093_0235
ERR1913283.54981__1.54981	116085__D4J595__DW747_06900
ERR1913283.55020__1.55020	487174__R5EUJ8__DDY40_00460
ERR1913283.55197__1.55197	29361__B6FKH5__CLONEX_00621
ERR1913283.55203__1.55203	39485__A0A175A023__yhhT
ERR1913283.55385__1.55385	28117__R7JN92__BHV66_00550
ERR1913283.55556__1.55556	39492__D4JWI6__EUBSIR_01073
ERR1913283.55636__1.55636	39491__A0A395UUN5__EUBREC_0291
ERR1913283.55848__1.55848	1262700__R5XTV2__BN695_00575
ERR1913283.55978__1.55978	820__A0A173WUD7__DXB48_08055
ERR1913283.55989__1.55989	39491__A0A395V1R3__T1815_08181
ERR1913283.56121__1.56121	1262736__R5YX38__BN496_01145
ERR1913283.56106__1.56106	360807__A0A1Q6T326__appA_1
ERR1913283.56707__1.56707	820__A0A174TRB5__DXD40_11305
ERR1913283.56862__1.56862	1680__A0A174BEE7__BSTER_1311
ERR1913283.56931__1.56931	47678__R5UGX6__CGC64_16275
ERR1913283.57027__1.57027	1262963__R6CBY4__BN718_00134
ERR1913283.57180__1.57180	166486__D4L334__mcp3_1
ERR1913283.57186__1.57186	28117__B0MT73__ALIPUT_00412
ERR1913283.57239__1.57239	28117__R7JJM9__ALIPUT_00662
ERR1913283.57364__1.57364	820__A7VAR9__ERS852421_00197
ERR1913283.57395__1.57395	1160721__W0U2T9__BHW50_11050
ERR1913283.57590__1.57590	239935__A0A2N8HT44__CXT84_11035
ERR1913283.57896__1.57896	360807__A0A174CZ42__RIL183_11251
ERR1913283.57969__1.57969	46503__R6X6Y1__DCY29_15600
ERR1913283.58028__1.58028	47678__R5U8Y1__BACCAC_02615
ERR1913283.58035__1.58035	39485__C4Z5L2__ERS852490_00659
ERR1913283.58174__1.58174	166486__R6AZI2__ydaF
ERR1913283.58177__1.58177	39492__D4JUL4__ERS852540_01381
ERR1913283.58251__1.58251	1150298__A0A174SLE6__mlc_1
ERR1913283.58338__1.58338	674529__R6W4L4__SAMN05444400_105128
ERR1913283.58432__1.58432	338188__R6D6U2__ERS852397_02840
ERR1913283.59410__1.59410	820__A0A174TRB5__DXD40_11305
ERR1913283.59469__1.59469	360807__A0A1Q6TCY9__ERS852444_01883
ERR1913283.59489__1.59489	338188__A0A173ZJ94__BACFIN_06122
ERR1913283.59676__1.59676	1680__A0A174BEE7__BSTER_1311
ERR1913283.60192__1.60192	823__A6LGI3__DXB14_09215
ERR1913283.60255__1.60255	1262700__R5Y6F4__BN695_00541
ERR1913283.60534__1.60534	1262700__R5XBD0__BN695_00459
ERR1913283.60778__1.60778	28116__A0A078Q7C2__DHW41_14520
ERR1913283.60821__1.60821	28117__B0MTH2__ALIPUT_00061
ERR1913283.60873__1.60873	818__D7IK38__ERS852430_03017
ERR1913283.60918__1.60918	1261__A0A135YTZ5__HMPREF3183_00253
ERR1913283.60966__1.60966	39491__A0A396FSK3__ERS852417_00383
ERR1913283.61065__1.61065	1262911__R6GU62__BN557_01488
ERR1913283.61118__1.61118	1262700__R5XUF1__BN695_00765
ERR1913283.61546__1.61546	1263044__GCA_000433375.1_01144
ERR1913283.61564__1.61564	1262988__R7N6C8__BN816_02368
ERR1913283.61714__1.61714	338188__C9L2Z7__BACFIN_08979
ERR1913283.61866__1.61866	1262889__R7HCF6__BN634_01122
ERR1913283.62163__1.62163	357276__A0A076IRV2__BACDOR_02822
ERR1913283.62370__1.62370	360807__A0A173TV21__RIL183_14191
ERR1913283.62473__1.62473	1160721__R6THG6__RBI_I00012
ERR1913283.62520__1.62520	820__A0A3E4W980__M093_3873
ERR1913283.62934__1.62934	820__A0A139JRS5__HMPREF1073_04025
ERR1913283.63055__1.63055	487174__K0WRP3__HMPREF9448_02660
ERR1913283.63311__1.63311	487174__K0WYI1__DDY40_08675
ERR1913283.63363__1.63363	33025__A0A395JBU5__C8D73_10423
ERR1913283.63380__1.63380	239935__B2UNF6__CXU17_03450
ERR1913283.63570__1.63570	820__A0A173YYG4__evgS_3
ERR1913283.63676__1.63676	626932__G5H6Y6__HMPREF9450_00829
ERR1913283.63725__1.63725	216816__B3DR71__CE159_04070
ERR1913283.63805__1.63805	39491__A0A3E4E7C5__DXB69_03255
ERR1913283.64048__1.64048	218538__C9LNQ3__GCWU000321_01176
ERR1913283.64062__1.64062	1681__E4VA65__APS66_06405
ERR1913283.64150__1.64150	1262889__R7HCF8__BN634_00395
ERR1913283.64218__1.64218	820__A0A3E4WCC2__lptB_1
ERR1913283.64302__1.64302	28117__R7JJM9__ALIPUT_00662
ERR1913283.64336__1.64336	214856__I3YMN6__Alfi_1938
ERR1913283.64355__1.64355	28117__B0MXG8__ALIPUT_01814
ERR1913283.64500__1.64500	1160721__W0U560__RBI_I01229
ERR1913283.64582__1.64582	1262736__R5Y285__BN496_00964
ERR1913283.64683__1.64683	360807__C0G083__ROSEINA2194_04432
ERR1913283.64684__1.64684	40518__R5E6X5__sbcD
ERR1913283.64694__1.64694	246787__R6KRT7__BACCELL_01801
ERR1913283.64822__1.64822	166486__A0A173VSA0__ROSINTL182_06124
ERR1913283.64899__1.64899	1263107__GCA_000436995.1_00102
ERR1913283.65094__1.65094	28117__B0MTV0__BHV66_06395
ERR1913283.65230__1.65230	818__A0A1H7TGM1__BJP75_010615
ERR1913283.65314__1.65314	28116__C3QZB5__M088_3811
ERR1913283.65319__1.65319	39491__A0A395UZ89__DXB72_12805
ERR1913283.65325__1.65325	39491__A0A395V5R3__EUBREC_1883
ERR1913283.65455__1.65455	239935__A0A2N8IUW6__Amuc_1525
ERR1913283.65508__1.65508	847__C3X891__OFBG_00445
ERR1913283.66379__1.66379	39492__A0A174Z2N0__EUBSIR_01615
ERR1913283.66403__1.66403	820__A0A174M9V5__M093_0237
ERR1913283.66544__1.66544	820__A0A139KHX1__HMPREF2141_00289
ERR1913283.66663__1.66663	239935__A0A2N8HBM4__CXT85_06270
ERR1913283.66839__1.66839	820__A0A3E4RU03__M093_0563
ERR1913283.66812__1.66812	290053__E6SSI8__Bache_0130
ERR1913283.67166__1.67166	216816__B7GQ29__APC1465_1199
ERR1913283.67190__1.67190	39491__A0A395UVM9__DXB76_04540
ERR1913283.67242__1.67242	820__A0A139K8N1__ERS852554_00951
ERR1913283.67391__1.67391	166486__D4L337__msbA_4
ERR1913283.67828__1.67828	301301__A0A395VD84__RHOM_09080
ERR1913283.67983__1.67983	1262700__R5Y6J6__BN695_00596
ERR1913283.67990__1.67990	76489__A0A1E8EUC5__CLOACE_23150
ERR1913283.68018__1.68018	1262911__R6H174__BN557_01246
ERR1913283.68364__1.68364	357276__B6W1J2__BACDOR_03380
ERR1913283.68563__1.68563	39492__A0A174Z2N0__EUBSIR_01615
ERR1913283.68732__1.68732	338188__R6RXC1__ERS852397_01581
ERR1913283.68922__1.68922	820__A0A174TRB5__DXD40_11305
ERR1913283.68888__1.68888	820__A0A3E4VZY4__ERS852554_01211
ERR1913283.69266__1.69266	871324__A0A1M6C0H7__SAMN05444350_103243
ERR1913283.69310__1.69310	47678__R5U2F6__HMPREF1061_00767
ERR1913283.69411__1.69411	338188__C9KR58__BACFIN_04781
ERR1913283.69464__1.69464	817__D1JRG3__M076_0507
ERR1913283.69416__1.69416	706562__GCA_900112995.1_02127
ERR1913283.69506__1.69506	1262736__R5Y4Z4__BN496_00393
ERR1913283.69812__1.69812	1262777__R5VM31__BN512_00609
ERR1913283.70007__1.70007	360807__A0A173VUT6__RIL183_10071
ERR1913283.70034__1.70034	166486__A0A173VSA0__ROSINTL182_06124
ERR1913283.70055__1.70055	556259__I0PYL9__BSGG_5205
ERR1913283.70241__1.70241	39492__R6SA81__EUBSIR_00402
ERR1913283.70188__1.70188	487174__K0XA48__DDY40_03955
ERR1913283.70679__1.70679	674529__A0A174EXC1__DXB21_01255
ERR1913283.71064__1.71064	820__A0A139KJR5__M093_4469
ERR1913283.71024__1.71024	338188__R6RPM5__bglX_6
ERR1913283.71251__1.71251	46503__R6X0F0__DD461_05620
ERR1913283.71789__1.71789	28117__B0MXD0__ALIPUT_01669
ERR1913283.71843__1.71843	1262911__R6GPM2__BN557_00937
ERR1913283.71941__1.71941	487174__K0X028__DIT83_00950
ERR1913283.72232__1.72232	649756__D4MXB5__ERS852387_00488
ERR1913283.72299__1.72299	1680__A7A2Y2__NCTC11814_00537
ERR1913283.72323__1.72323	239935__A0A139TVJ4__CXT86_02020
ERR1913283.72653__1.72653	1262700__R5XLN1__BN695_01615
ERR1913283.72672__1.72672	1263044__GCA_000433375.1_00023
ERR1913283.72805__1.72805	1262700__R5X902__BN695_00437
ERR1913283.72988__1.72988	28117__A0A1Q6FAD1__ALIPUT_01287
ERR1913283.73033__1.73033	1262700__R5XA62__BN695_00032
ERR1913283.73428__1.73428	487174__K0XLH2__HMPREF9448_01152
ERR1913283.73415__1.73415	1262911__R6H174__BN557_01246
ERR1913283.73526__1.73526	166486__A0A1Q6SA53__ROSINTL182_05714
ERR1913283.73558__1.73558	39491__C4ZC33__DXC13_11585
ERR1913283.73630__1.73630	33039__D4M1A4__ERS852502_00742
ERR1913283.73783__1.73783	239935__A0A2N8I8X8__B5G29_00185
ERR1913283.73988__1.73988	39488__A0A173RU01__EUBHAL_00881
ERR1913283.74048__1.74048	239935__A0A2N8IVK9__CXU08_03750
ERR1913283.74284__1.74284	823__A0A355XLH0__fepA_1
ERR1913283.74384__1.74384	28117__B0MSR5__BHV66_02095
ERR1913283.74348__1.74348	39491__D4JM76__DXC13_02150
ERR1913283.74545__1.74545	487174__K0XER9__DDY40_08885
ERR1913283.74685__1.74685	239935__A0A2N8HBM4__CXT85_06270
ERR1913283.74938__1.74938	239935__A0A2N8I3G2__CXT89_00720
ERR1913283.75022__1.75022	820__A0A173YYG4__evgS_3
ERR1913283.75093__1.75093	239935__A0A2N8J2P6__ADH72_06730
ERR1913283.75177__1.75177	820__A0A3E4W9W8__C801_01069
ERR1913283.75240__1.75240	823__A0A395YXR9__M091_4086
ERR1913283.75366__1.75366	1263011__R6E0L4__BN553_01675
ERR1913283.75343__1.75343	39491__A0A173TAZ5__DXB99_09520
ERR1913283.75385__1.75385	39492__D4JS87__EUBSIR_02328
ERR1913283.75470__1.75470	487174__K0X773__DIT83_07170
ERR1913283.75764__1.75764	88431__A0A174EDE9__yxeP_2
ERR1913283.75865__1.75865	1262736__R5Y3S3__BN496_00193
ERR1913283.75994__1.75994	28116__A0A1Y4P7B7__M088_2098
ERR1913283.76095__1.76095	1262911__R6GIK0__BN557_01516
ERR1913283.76189__1.76189	39485__A0A174ZA08__EUBELI_01019
ERR1913283.76179__1.76179	1262700__R5XEF2__BN695_01474
ERR1913283.76368__1.76368	39491__A0A174K1W6__DXB99_15020
ERR1913283.76306__1.76306	1262736__R5YM87__BN496_00421
ERR1913283.76849__1.76849	823__A0A355XGQ3__prmC
ERR1913283.77003__1.77003	1262700__R5XDF3__BN695_01151
ERR1913283.76953__1.76953	239935__A0A2N8IL82__CXU02_11740
ERR1913283.77073__1.77073	47678__R5U7X8__C5Z00_18270
ERR1913283.77276__1.77276	239935__A0A2N8ILG3__CXT93_10135
ERR1913283.77236__1.77236	39492__D4JRV7__EUBSIR_01513
ERR1913283.77412__1.77412	823__A0A355XIK0__CEQ22_011965
ERR1913283.77413__1.77413	1262889__R7HCV1__BN634_01227
ERR1913283.77472__1.77472	1262700__R5XJU2__BN695_00943
ERR1913283.77481__1.77481	1262700__R5X902__BN695_00437
ERR1913283.77790__1.77790	338188__A0A1Q6HLG8__ERS852397_03417
ERR1913283.78008__1.78008	853__A8SCP3__C4N26_07960
ERR1913283.78041__1.78041	239935__A0A2N8HTZ8__CXU09_01270
ERR1913283.78071__1.78071	820__A0A3E4IGA7__DXD40_07110
ERR1913283.78112__1.78112	47678__R5UXJ2__DW706_08325
ERR1913283.78348__1.78348	239935__A0A2N8INZ4__CXU08_03560
ERR1913283.78598__1.78598	33039__A0A173VTT4__frdB_1
ERR1913283.78688__1.78688	28116__A0A078Q626__HMPREF1070_02735
ERR1913283.78847__1.78847	1680__A0A1X3AAI9__BADO_1163
ERR1913283.79028__1.79028	338188__R6RT73__HMPREF1057_02828
ERR1913283.79060__1.79060	166486__D4KYW5__ROSINTL182_05595
ERR1913283.79194__1.79194	823__A6LHJ7__ERS852380_00253
ERR1913283.79627__1.79627	360807__A0A173SPW8__ERS852444_01048
ERR1913283.79800__1.79800	820__A0A3E4GFT8__HMPREF1073_03236
ERR1913283.79931__1.79931	820__A0A3E4W9W8__C801_01069
ERR1913283.80198__1.80198	357276__C3RA36__HMPREF1065_03270
ERR1913283.80207__1.80207	360807__A0A0M6WIS4__ROSEINA2194_02000
ERR1913283.80553__1.80553	39491__A0A396FNY7__LD38_16155
ERR1913283.80491__1.80491	239935__A0A139TMG9__CXU07_10650
ERR1913283.80524__1.80524	1262700__R5Y6J6__BN695_00596
ERR1913283.80580__1.80580	338188__K5C9M2__BACFIN_06121
ERR1913283.80683__1.80683	239935__A0A2N8HEH9__CXU07_11710
ERR1913283.80758__1.80758	820__A0A139KHD8__ERS417307_00569
ERR1913283.81139__1.81139	823__C7XA51__BDI_0499
ERR1913283.81205__1.81205	357276__A0A076IN30__DXD47_09350
ERR1913283.81338__1.81338	218538__C9LPF0__GCWU000321_01429
ERR1913283.81416__1.81416	820__A0A3E5BMG9__DXD40_05130
ERR1913283.81553__1.81553	626932__G5H801__HMPREF9450_00804
ERR1913283.81688__1.81688	39488__A0A173RH64__EUBHAL_01712
ERR1913283.81813__1.81813	820__A0A174CK74__DXB48_07060
ERR1913283.81827__1.81827	40518__R5E1X3__clcA
ERR1913283.82410__1.82410	1262911__R6GPM2__BN557_00937
ERR1913283.82392__1.82392	1660__Z4XA14__APY09_04055
ERR1913283.82808__1.82808	853__A0A2A7B1Y7__C7K05_11930
ERR1913283.82999__1.82999	360807__A0A173UCM1__RIL183_07511
ERR1913283.83112__1.83112	338188__A0A174IGK1__ERS852397_02962
ERR1913283.83300__1.83300	1262993__R5CJC7__BN785_00469
ERR1913283.83425__1.83425	39492__D4JRZ7__smc
ERR1913283.83707__1.83707	820__A0A3E4PYB0__yejM
ERR1913283.83714__1.83714	1262700__R5XTV2__BN695_00575
ERR1913283.83778__1.83778	1262700__R5XLR5__BN695_01665
ERR1913283.83784__1.83784	35833__S2KT27__HMPREF0179_05324
ERR1913283.83866__1.83866	39492__D4JVZ6__truB
ERR1913283.83880__1.83880	338188__R6RT73__HMPREF1057_02828
ERR1913283.84292__1.84292	847__C3XCM1__OFBG_01975
ERR1913283.84299__1.84299	1263109__GCA_000438135.1_01590
ERR1913283.84478__1.84478	394340__clpB_1
ERR1913283.84503__1.84503	674529__A0A174HPT9__SAMN05444400_11358
ERR1913283.84544__1.84544	1262911__R6GNY6__BN557_00004
ERR1913283.84661__1.84661	1262889__R7H889__BN634_02048
ERR1913283.84788__1.84788	338188__R6RY36__BACFIN_08642
ERR1913283.84810__1.84810	39492__R6SPM9__pheT
ERR1913283.85131__1.85131	28117__B0MVL5__BHV66_01660
ERR1913283.85393__1.85393	1680__A0A173W5Z2__DXC53_01290
ERR1913283.85329__1.85329	39492__D4JWY0__EUBSIR_01648
ERR1913283.85453__1.85453	1262889__R7HAQ6__BN634_02130
ERR1913283.85454__1.85454	338188__A0A173X8B0__BACFIN_07108
ERR1913283.85588__1.85588	28116__F7L4N5__BACOVA_00137
ERR1913283.85933__1.85933	820__A0A3E4QZJ7__C801_01798
ERR1913283.86123__1.86123	820__A0A1T4IY71__HMPREF2141_02402
ERR1913283.86358__1.86358	853__A0A173YYY4__DWZ04_09420
ERR1913283.86442__1.86442	338188__A0A173XBT2__ERS852397_00329
ERR1913283.86407__1.86407	823__K6APS3__DDY96_02400
ERR1913283.86367__1.86367	28117__B0MXL6__ALIPUT_01851
ERR1913283.86744__1.86744	1263006__R6LT09__BN515_01035
ERR1913283.86807__1.86807	246787__R6KDR9__BcellWH2_02360
ERR1913283.86931__1.86931	410072__C0BDA3__DXD67_12185
ERR1913283.87108__1.87108	28117__B0MST6__BHV66_06090
ERR1913283.87211__1.87211	239935__R6JCH3__CXT95_08205
ERR1913283.87218__1.87218	1262911__R6GPM2__BN557_00937
ERR1913283.87326__1.87326	853__D4JY61__C4N21_10560
ERR1913283.87484__1.87484	1262743__R5C054__BN727_01980
ERR1913283.87502__1.87502	47678__A5ZJ14__ERS852494_02225
ERR1913283.87561__1.87561	39491__A0A396FMT0__EUBREC_3020
ERR1913283.87568__1.87568	39491__A0A395UYA6__EUBREC_0408
ERR1913283.87572__1.87572	823__A0A355XLS2__ERS852380_02644
ERR1913283.87744__1.87744	46503__R6WWC9__PARMER_03215
ERR1913283.87947__1.87947	1897011__A0A1Q6REV3__BHW41_04080
ERR1913283.88015__1.88015	33039__D4M6E9__ERS852390_02866
ERR1913283.88048__1.88048	166486__D4KZY5__ROSINTL182_07635
ERR1913283.88472__1.88472	39488__A0A173RDD7__DXD91_00105
ERR1913283.88510__1.88510	39491__A0A396FUZ3__phoR_1
ERR1913283.88655__1.88655	39492__D4JW10__pppA
ERR1913283.88890__1.88890	39491__C4Z9E9__T1815_12341
ERR1913283.89206__1.89206	239935__A0A2N8I1R3__CXU05_06075
ERR1913283.89413__1.89413	47678__R5UUS9__ERS852558_01432
ERR1913283.89678__1.89678	1150298__A0A173ZI89__ERS852498_03535
ERR1913283.89990__1.89990	1263044__GCA_000433375.1_01135
ERR1913283.90091__1.90091	1681__A0A286TBJ5__LMG13195_1856
ERR1913283.90162__1.90162	239935__A0A2N8HX65__CXU17_02540
ERR1913283.90239__1.90239	39491__A0A395UYA6__EUBREC_0408
ERR1913283.90180__1.90180	820__A0A374Q854__HMPREF1073_03281
ERR1913283.90189__1.90189	552398__T5S086__HMPREF0866_01580
ERR1913283.90200__1.90200	1262888__R6PFP3__BN582_00353
ERR1913283.90357__1.90357	329854__R5M2W2__DXD57_07845
ERR1913283.90327__1.90327	239935__R7DVL7__CXT93_01180
ERR1913283.90426__1.90426	823__A0A355XGQ3__prmC
ERR1913283.90468__1.90468	820__A0A3E4RU03__M093_0563
ERR1913283.90472__1.90472	820__A0A3E4FZM1__adaA_2
ERR1913283.90566__1.90566	239935__A0A2N8HT44__CXT84_11035
ERR1913283.90529__1.90529	239935__A0A2N8HHY4__DEF40_10850
ERR1913283.90628__1.90628	820__A0A1T4IY80__ERS852554_01621
ERR1913283.91183__1.91183	1263109__GCA_000438135.1_00481
ERR1913283.91196__1.91196	1262911__R6GIK0__BN557_01516
ERR1913283.91369__1.91369	821__A0A395UNT8__DXD64_15275
ERR1913283.91610__1.91610	338188__A0A174FBN4__BACFIN_09139
ERR1913283.91723__1.91723	674529__R6W4Y1__SAMN05444400_11574
ERR1913283.91734__1.91734	28117__R7JIJ8__BHV66_01635
ERR1913283.92147__1.92147	745368__A0A1T4Y9Q7__SAMN02745178_02874
ERR1913283.92286__1.92286	28117__B0MY82__BHV66_04755
ERR1913283.92305__1.92305	40518__R5E5I9__yvhJ_2
ERR1913283.92467__1.92467	310298__B3JQD7__BACCOP_04095
ERR1913283.92473__1.92473	820__A0A174F0C1__nreB
ERR1913283.92625__1.92625	239935__A0A2N8IMC3__CXT96_03840
ERR1913283.92693__1.92693	1262736__R5Y6S0__BN496_00488
ERR1913283.92904__1.92904	1262700__R5Y7V8__BN695_00991
ERR1913283.93510__1.93510	88431__A0A174G8Q6__ERS852526_02711
ERR1913283.93543__1.93543	239935__A0A2N8HUU6__CXT90_06150
ERR1913283.93746__1.93746	871325__A0A1M4TSZ2__SAMN05444349_102236
ERR1913283.93994__1.93994	40518__R5E2F3__artQ
ERR1913283.94049__1.94049	39492__A0A174ZL16__EUBSIR_01269
ERR1913283.94150__1.94150	820__A0A3E4VZY4__ERS852554_01211
ERR1913283.94275__1.94275	1262889__R7H9Z3__BN634_00978
ERR1913283.94395__1.94395	820__A0A3E4RU03__M093_0563
ERR1913283.94542__1.94542	853__A0A173XRA8__CGS56_09290
ERR1913283.94596__1.94596	28117__B0MU58__BHV66_05630
ERR1913283.94838__1.94838	1683__C4FD59__BIFANG_02242
ERR1913283.94844__1.94844	357276__I8WFU9__BACDOR_02006
ERR1913283.94872__1.94872	820__A0A139JV05__B5G17_18125
ERR1913283.94902__1.94902	88431__A0A174RFW8__ERS852526_02076
ERR1913283.94926__1.94926	28117__B0MTV0__BHV66_06395
ERR1913283.95023__1.95023	360807__A0A174EVF2__RIL183_27331
ERR1913283.95341__1.95341	1304__T0T9N5__CQA85_09935
ERR1913283.95544__1.95544	1262700__R5XVU6__BN695_01237
ERR1913283.96001__1.96001	47678__R5U978__ERS852558_01076
ERR1913283.96069__1.96069	39492__D4JQM9__EUBSIR_00669
ERR1913283.96213__1.96213	46503__R6WTW1__NCTC13052_03440
ERR1913283.96333__1.96333	360807__A0A396AFY2__ERS852444_00427
ERR1913283.96468__1.96468	1680__A0A1E7XZY9__DXC60_05815
ERR1913283.96529__1.96529	1550024__G9RXV5__TQ39_13455
ERR1913283.96572__1.96572	853__A0A173SUU8__CGS54_06840
ERR1913283.96730__1.96730	1160721__R6UA13__BHW50_07285
ERR1913283.96840__1.96840	556259__I0PYM3__BSGG_5385
ERR1913283.96922__1.96922	39491__A0A395UYA6__EUBREC_0408
ERR1913283.96969__1.96969	39491__A0A396FKG5__DXB76_07455
ERR1913283.97061__1.97061	338188__A0A1Q6HA80__ERS852397_00522
ERR1913283.97343__1.97343	371601__D7K8P3__SAMN05216250_10395
ERR1913283.97361__1.97361	820__A0A3E4GA19__SAMN05444418_10562
ERR1913283.97332__1.97332	820__A0A174M9V5__M093_0237
ERR1913283.97419__1.97419	820__A0A3E4WCC2__lptB_1
ERR1913283.97464__1.97464	820__A0A173XIP7__B5G17_16050
ERR1913283.97542__1.97542	338188__R6RT73__HMPREF1057_02828
ERR1913283.97543__1.97543	414970__GeneID:5204371
ERR1913283.97612__1.97612	40518__R5DYU1__DXD86_01160
ERR1913283.97666__1.97666	239935__A0A139TQT9__Amuc_1197
ERR1913283.97755__1.97755	40518__R5DUU0__DXD93_03985
ERR1913283.97763__1.97763	1262948__R7E8R3__BN671_00101
ERR1913283.97708__1.97708	39492__D4JQS6__ykoD
ERR1913283.97938__1.97938	357276__I8WEY2__ABI39_04185
ERR1913283.98040__1.98040	39491__A0A395UYA6__EUBREC_0408
ERR1913283.98060__1.98060	47678__R5UET0__BACCAC_02656
ERR1913283.98527__1.98527	239935__A0A2N8HBM4__CXT85_06270
ERR1913283.98596__1.98596	39492__D4JRZ7__smc
ERR1913283.98651__1.98651	820__A0A3E4VZY4__ERS852554_01211
ERR1913283.98836__1.98836	39486__G1WSX8__DXD82_08635
ERR1913283.99089__1.99089	39492__D4JQU6__ERS852540_02194
ERR1913283.99347__1.99347	357276__A0A0M1W657__HMPREF1064_04629
ERR1913283.99397__1.99397	28116__A0A395VSP8__ERS852555_02642
ERR1913283.99404__1.99404	853__A0A174UDE9__C4N25_12775
ERR1913283.99856__1.99856	823__D7IUM6__M091_1082
ERR1913283.99922__1.99922	239935__A0A2N8IUW6__Amuc_1525
ERR1913283.99982__1.99982	820__R9I2U8__DXC68_09590
ERR1913283.99940__1.99940	39491__C4ZCV7__ERE_23110
ERR1913283.100130__1.100130	1262743__R5C054__BN727_01980
ERR1913283.100207__1.100207	357276__A0A076IXE0__HMPREF1064_04364
ERR1913283.100399__1.100399	820__A0A174TRB5__DXD40_11305
ERR1913283.100614__1.100614	39492__D4JQY4__EUBSIR_01325
ERR1913283.100576__1.100576	39492__D4JW10__pppA
ERR1913283.100680__1.100680	39491__A0A395V1Y4__DXB99_08035
ERR1913283.100759__1.100759	1550024__A0A0D8J084__TQ39_06930
ERR1913283.100765__1.100765	47678__A5ZBM1__pknD_1
ERR1913283.100931__1.100931	1262948__R7EGE9__BN671_00967
ERR1913283.100948__1.100948	820__A7VAR9__ERS852421_00197
ERR1913283.101044__1.101044	239935__A0A2N8I375__menA
ERR1913283.101065__1.101065	820__A0A139KIL9__DXC68_05945
ERR1913283.101150__1.101150	239935__A0A2N8IV82__CXT99_06735
ERR1913283.101164__1.101164	544644__GCA_001915615.1_01913
ERR1913283.101205__1.101205	166486__A0A1Q6S8P7__ROSINTL182_06253
ERR1913283.101563__1.101563	1381__group_451
ERR1913283.101906__1.101906	239935__A0A2N8IKW7__pstA
ERR1913283.101880__1.101880	239935__A0A2N8IG27__CXT85_07805
ERR1913283.101989__1.101989	28117__R7JPX7__BHV66_00900
ERR1913283.102023__1.102023	1897011__A0A1Q6REX7__BHW41_04490
ERR1913283.102104__1.102104	166486__D4L0E1__ypdA_4
ERR1913283.102268__1.102268	820__A0A078STJ8__DXC68_04690
ERR1913283.102298__1.102298	446660__GCA_003428235.1_00970
ERR1913283.102440__1.102440	1262888__R6P7P6__BN582_00294
ERR1913283.102575__1.102575	1262700__R5X9S4__BN695_00717
ERR1913283.102630__1.102630	239935__A0A2N8HT44__CXT84_11035
ERR1913283.102882__1.102882	204516__U6RAM4__HMPREF1534_03439
ERR1913283.102978__1.102978	47678__R5U6B9__BACCAC_01372
ERR1913283.103008__1.103008	39492__D4JWL2__ERS852540_01201
ERR1913283.103080__1.103080	1262911__R6GPM2__BN557_00937
ERR1913283.103091__1.103091	239935__B2UNF6__CXU17_03450
ERR1913283.103110__1.103110	39491__A0A173RA59__EUR_24800
ERR1913283.103175__1.103175	871325__A0A1M4TSZ2__SAMN05444349_102236
ERR1913283.103196__1.103196	820__A0A174F0C1__nreB
ERR1913283.103257__1.103257	338188__R6D6U2__ERS852397_02840
ERR1913283.103332__1.103332	47678__R5U3A7__ERS852494_02965
ERR1913283.103348__1.103348	1263000__R5EXT3__BN466_02213
ERR1913283.103289__1.103289	310298__B3JPD1__BACCOP_02317
ERR1913283.103350__1.103350	28118__F9Z9C4__B5F93_16310
ERR1913283.103661__1.103661	33039__A0A173VTT4__frdB_1
ERR1913283.103816__1.103816	1262911__R6GUQ4__BN557_01581
ERR1913283.103998__1.103998	246787__A0A3D6AWM8__BACCELL_01963
ERR1913283.104073__1.104073	1262700__R5XDF3__BN695_01151
ERR1913283.104119__1.104119	39491__A0A395UZ89__DXB72_12805
ERR1913283.104391__1.104391	544645__A0A3E4SW24__DXC42_17195
ERR1913283.104415__1.104415	218538__C9LQG6__GCWU000321_01798
ERR1913283.104696__1.104696	1550024__G9RP69__ASJ35_11625
ERR1913283.104882__1.104882	39491__A0A395V1Y4__DXB99_08035
ERR1913283.105104__1.105104	47678__R5UUB1__DXB67_02860
ERR1913283.105106__1.105106	39491__A0A173VYV1__DXC13_02710
ERR1913283.105513__1.105513	821__A0A174NM17__lacZ_6
ERR1913283.105549__1.105549	39488__A0A174BS94__DXD91_16570
ERR1913283.105577__1.105577	239935__A0A2N8IU14__ADH72_05655
